,year,rank,song,artist
3787,1997,89,Dance Into The Light,Phil Collins
3788,1997,90,Luchini aka (This Is It),Camp Lo
3789,1997,91,Music Makes Me High,Lost Boyz
3790,1997,92,Get Up,Lost Boyz
3791,1997,93,Floatin' On Your Love,The Isley Brothers Featuring Angela Winbush
3792,1997,94,Let's Get The Mood Right,Johnny Gill
3793,1997,95,Lady,Mista
3794,1997,96,You Don't Have To Love Me,Monifah
3795,1997,97,You Can Make History (Young Again),Elton John
3796,1997,98,The Sound Of My Tears,Deborah Cox
3797,1997,99,Birmingham,Amanda Marshall
3798,1997,100,That's How It Is (It's Like That),Redman Featuring K-Solo
3799,1998,1,Candle In The Wind 1997/Something About The Way You Look Tonight,Elton John
3800,1998,2,Been Around The World,Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)
3801,1998,3,How Do I Live,LeAnn Rimes
3802,1998,4,Together Again,Janet
3803,1998,5,My Body,LSG
3804,1998,6,You Make Me Wanna...,Usher
3805,1998,7,Truly Madly Deeply,Savage Garden
3806,1998,8,Feel So Good,Mase
3807,1998,9,A Song For Mama,Boyz II Men
3808,1998,10,Show Me Love,Robyn
3809,1998,11,I Will Come To You,Hanson
3810,1998,12,My Love Is The Shhh!,Somethin' For The People Featuring Trina & Tamara
3811,1998,13,Tubthumping,Chumbawamba
3812,1998,14,We're Not Making Love No More,Dru Hill
3813,1998,15,I Don't Ever Want To See You Again,Uncle Sam
3814,1998,16,The One I Gave My Heart To,Aaliyah
3815,1998,17,I Don't Want To Wait,Paula Cole
3816,1998,18,Butta Love,Next
3817,1998,19,Spice Up Your Life,Spice Girls
3818,1998,20,Sock It 2 Me,"Missy ""Misdemeanor"" Elliott Featuring Da Brat"
3819,1998,21,All Cried Out,Allure Featuring 112
3820,1998,22,I Do,Lisa Loeb
3821,1998,23,How's It Going To Be,Third Eye Blind
3822,1998,24,Lollipop (Candyman),Aqua
3823,1998,25,4 Seasons Of Loneliness,Boyz II Men
3824,1998,26,Foolish Games/You Were Meant For Me,Jewel
3825,1998,27,What About Us,Total
3826,1998,28,Semi-Charmed Life,Third Eye Blind
3827,1998,29,Quit Playing Games (With My Heart),Backstreet Boys
3828,1998,30,"No, No, No",Destiny's Child
3829,1998,31,Criminal,Fiona Apple
3830,1998,32,Going Back To Cali,The Notorious B.I.G.
3831,1998,33,Heaven,Nu Flavor
3832,1998,34,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase
3833,1998,35,All For You,Sister Hazel
3834,1998,36,Breaking All The Rules,She Moves
3835,1998,37,If I Could Teach The World,Bone Thugs-N-Harmony
3836,1998,38,The Memory Remains,Metallica
3837,1998,39,Building A Mystery,Sarah McLachlan
3838,1998,40,Honey,Mariah Carey
3839,1998,41,I'll Be Missing You,Puff Daddy & Faith Evans Featuring 112
3840,1998,42,No Tengo Dinero,Los Umbrellos
3841,1998,43,Don't Be Stupid (You Know I Love You),Shania Twain
3842,1998,44,They Like It Slow,H-Town
3843,1998,45,Kiss The Rain,Billie Myers
3844,1998,46,2 Become 1,Spice Girls
3845,1998,47,Invisible Man,98 Degrees
3846,1998,48,At The Beginning,Richard Marx & Donna Lewis
3847,1998,49,Sunny Came Home,Shawn Colvin
3848,1998,50,I Care 'Bout You,Milestone
3849,1998,51,You Light Up My Life,LeAnn Rimes
3850,1998,52,Everything,Mary J. Blige
3851,1998,53,32 Flavors,Alana Davis
3852,1998,54,Love Gets Me Every Time,Shania Twain
3853,1998,55,What If,Reba McEntire
3854,1998,56,Legend Of A Cowgirl,Imani Coppola
3855,1998,57,Still Waters (Run Deep),Bee Gees
3856,1998,58,Just Clownin',WC From Westside Connection
3857,1998,59,So Help Me Girl,Gary Barlow
3858,1998,60,Roxanne `97 - Puff Daddy Remix,Sting & The Police
3859,1998,61,I Miss My Homies,Master P Featuring Pimp C And The Shocker
3860,1998,62,Tuck Me In,Kimberly Scott
3861,1998,63,You're Not Alone,Olive
3862,1998,64,I'm Not A Player,Big Punisher
3863,1998,65,So Good,Davina
