,Unnamed: 0,date,rank,song,artist,gender,genre,genres
591,591,2021,92,7am On Bridle Path,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
592,592,2021,93,Off The Grid,Kanye West,,,"['chicago rap', 'rap']"
593,593,2021,94,In Da Getto,J Balvin & Skrillex,,,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
594,594,2021,95,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),,,"['dance pop', 'pop']"
595,595,2021,96,Knowing You,Kenny Chesney,,,"['contemporary country', 'country', 'country road']"
596,596,2021,97,Am I Dreaming,Lil Nas X Featuring Miley Cyrus,,,"['lgbtq+ hip hop', 'pop']"
597,597,2021,98,Same Boat,Zac Brown Band,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
598,598,2021,99,Come Through,H.E.R. Featuring Chris Brown,,,['melodic rap']
599,599,2021,100,Don't Go Yet,Camila Cabello,,,"['dance pop', 'pop', 'post-teen pop']"
600,600,2021,1,Stay,The Kid LAROI & Justin Bieber,,,['australian hip hop']
601,601,2021,2,Way 2 Sexy,Drake Featuring Future & Young Thug,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
602,602,2021,3,Bad Habits,Ed Sheeran,,,"['pop', 'uk pop']"
603,603,2021,4,Knife Talk,Drake Featuring 21 Savage & Project Pat,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
604,604,2021,5,Fancy Like,Walker Hayes,,,"['contemporary country', 'country', 'country road', 'modern country rock']"
605,605,2021,6,Industry Baby,Lil Nas X & Jack Harlow,,,"['lgbtq+ hip hop', 'pop']"
606,606,2021,7,Good 4 U,Olivia Rodrigo,,,['pop']
607,607,2021,8,Kiss Me More,Doja Cat Featuring SZA,,,"['dance pop', 'pop']"
608,608,2021,9,Levitating,Dua Lipa,,,"['dance pop', 'pop', 'uk pop']"
609,609,2021,10,Girls Want Girls,Drake Featuring Lil Baby,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
610,610,2021,11,Fair Trade,Drake Featuring Travis Scott,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
611,611,2021,12,Save Your Tears,The Weeknd & Ariana Grande,,,"['canadian contemporary r&b', 'canadian pop', 'pop']"
612,612,2021,13,Montero (Call Me By Your Name),Lil Nas X,,,"['lgbtq+ hip hop', 'pop']"
613,613,2021,14,Butter,BTS,,,"['k-pop', 'k-pop boy group']"
614,614,2021,15,Heat Waves,Glass Animals,,,"['gauze pop', 'indietronica', 'shiver pop']"
615,615,2021,16,Shivers,Ed Sheeran,,,"['pop', 'uk pop']"
616,616,2021,17,Essence,Wizkid Featuring Justin Bieber & Tems,,,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']"
617,617,2021,18,You Right,Doja Cat & The Weeknd,,,"['dance pop', 'pop']"
618,618,2021,19,Champagne Poetry,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
619,619,2021,20,Deja Vu,Olivia Rodrigo,,,['pop']
620,620,2021,21,Need To Know,Doja Cat,,,"['dance pop', 'pop']"
621,621,2021,22,No Friends In The Industry,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
622,622,2021,23,Take My Breath,The Weeknd,,,"['canadian contemporary r&b', 'canadian pop', 'pop']"
623,623,2021,24,If I Didn't Love You,Jason Aldean & Carrie Underwood,,,"['contemporary country', 'country', 'country road']"
624,624,2021,25,Family Ties,Baby Keem & Kendrick Lamar,,,"['hip hop', 'rap']"
625,625,2021,26,Hurricane,Kanye West,,,"['chicago rap', 'rap']"
626,626,2021,27,TSU,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
627,627,2021,28,Have Mercy,Chloe,,,[]
628,628,2021,29,In The Bible,Drake Featuring Lil Durk & Giveon,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
629,629,2021,30,Beggin',Maneskin,,,"['indie rock italiano', 'italian pop']"
